"ID","step","hours","exposure","material","retain","lstar","astar","bstar","YI","Haze","ftir.1250","ftir.1700","ftir.2900","ftir.3350","dose","doseType"
"sa22087.10",1,2208,"5x","PET",1,95,-0.17,1.21,2.16,3.5,0.151638,0.110644,0.0214508,0.0213716,40061.952,"fullSpectrum"
"sa22089.10",1,2208,"5x","TPU",1,95.94,-0.02,0.79,1.46,9,0.394641,0.403127,0.178856,0.0652662,40061.952,"fullSpectrum"
"sa22087.11",1,2208,"5x","PET",2,94.86,-0.16,1.2,2.16,4.2,NA,NA,NA,NA,40061.952,"fullSpectrum"
"sa22089.11",1,2208,"5x","TPU",2,96.16,-0.06,0.75,1.37,7.1,NA,NA,NA,NA,40061.952,"fullSpectrum"
"sa22085.06",1,2208,"5x","9025-TPU",2,96.25,-0.02,0.61,1.13,6.4,NA,NA,NA,NA,40061.952,"fullSpectrum"
"sa22085.05",1,2208,"5x","9025-TPU",1,96.07,-0.01,0.68,1.26,8.2,0.262766,0.402572,0.0882213,0.0560796,40061.952,"fullSpectrum"
"sa22085.07",1,2208,"5x","9025-TPU",3,95.8,0,0.7,1.32,10.1,NA,NA,NA,NA,40061.952,"fullSpectrum"
"sa22082.01",2,4224,"5x","9025-PET",2,95.2,-0.18,1.33,2.39,7.6,NA,NA,NA,NA,76640.256,"fullSpectrum"
"sa22070.07",2,4224,"5x","9006-PET",3,95.47,-0.19,1.17,2.08,5.4,NA,NA,NA,NA,76640.256,"fullSpectrum"
"sa22079.06",2,4224,"5x","9013-TPU",2,95.92,-0.03,0.79,1.46,6.7,NA,NA,NA,NA,76640.256,"fullSpectrum"
"sa22085.06",2,4224,"5x","9025-TPU",2,96.11,-0.01,0.8,1.49,7.1,NA,NA,NA,NA,76640.256,"fullSpectrum"
"sa22079.08",2,4224,"5x","9013-TPU",4,96.1,-0.03,0.82,1.52,6.4,NA,NA,NA,NA,76640.256,"fullSpectrum"
"sa22085.07",2,4224,"5x","9025-TPU",3,95.88,-0.01,0.8,1.5,9.8,NA,NA,NA,NA,76640.256,"fullSpectrum"
"sa22079.07",2,4224,"5x","9013-TPU",3,96.08,-0.03,0.76,1.41,5.9,NA,NA,NA,NA,76640.256,"fullSpectrum"
"sa22087.12",2,4224,"5x","PET",3,94.84,-0.2,1.27,2.26,5.8,NA,NA,NA,NA,76640.256,"fullSpectrum"
"sa22073.08",2,4224,"5x","9006-TPU",4,96.02,-0.02,0.82,1.52,7,NA,NA,NA,NA,76640.256,"fullSpectrum"
"sa22087.11",2,4224,"5x","PET",2,94.87,-0.19,1.31,2.35,4.4,NA,NA,NA,NA,76640.256,"fullSpectrum"
"sa22085.08",2,4224,"5x","9025-TPU",4,96.11,-0.01,0.8,1.5,6.9,NA,NA,NA,NA,76640.256,"fullSpectrum"
"sa22087.13",2,4224,"5x","PET",4,94.92,-0.19,1.28,2.29,4.2,NA,NA,NA,NA,76640.256,"fullSpectrum"
"sa22082.02",2,4224,"5x","9025-PET",3,95.41,-0.19,1.31,2.34,5.9,NA,NA,NA,NA,76640.256,"fullSpectrum"
"sa22070.06",2,4224,"5x","9006-PET",2,94.88,-0.22,1.27,2.25,5.3,NA,NA,NA,NA,76640.256,"fullSpectrum"
"sa22089.11",2,4224,"5x","TPU",2,95.08,0.03,1.11,2.14,13.2,NA,NA,NA,NA,76640.256,"fullSpectrum"
"sa22076.08",2,4224,"5x","9013-PET",4,95.51,-0.19,1.23,2.18,4.1,NA,NA,NA,NA,76640.256,"fullSpectrum"
"sa22076.07",2,4224,"5x","9013-PET",3,95.35,-0.2,1.29,2.3,4.6,NA,NA,NA,NA,76640.256,"fullSpectrum"
"sa22089.12",2,4224,"5x","TPU",3,95.12,0.04,1.03,2,13.3,NA,NA,NA,NA,76640.256,"fullSpectrum"
"sa22073.06",2,4224,"5x","9006-TPU",2,94.63,0,0.81,1.55,6.5,NA,NA,NA,NA,76640.256,"fullSpectrum"
"sa22070.08",2,4224,"5x","9006-PET",4,95.2,-0.18,1.29,2.32,7.4,NA,NA,NA,NA,76640.256,"fullSpectrum"
