"ID","exposure","retain","substrate","material","lstar","astar","bstar","YI","Haze","step"
"sa22075.09","ASTMG155",4,"9013","PET",89.63,-0.36,2.53,4.75,96.8,4
"sa22076.00","ASTMG155",4,"9013","PET",93.9,-0.28,1.55,2.76,36,2
"sa22076.00","ASTMG155",4,"9013","PET",93.76,-0.31,1.68,3,81.4,3
"sa22076.00","ASTMG155",4,"9013","PET",95.83,-0.04,0.92,1.71,1.1,0
"sa22076.00","ASTMG155",4,"9013","PET",92.43,-0.36,1.9,3.42,97.5,4
"sa22076.01","1x",1,"9013","PET",95.46,-0.43,1.12,1.78,4.4,1
"sa22076.01","1x",1,"9013","PET",95.78,-0.19,0.96,1.67,1.9,0
"sa22076.02","1x",2,"9013","PET",95.88,-0.04,1.14,2.13,1.2,0
"sa22076.02","1x",2,"9013","PET",95.56,-0.19,1.19,2.11,3.6,2
"sa22076.02","1x",2,"9013","PET",95.66,-0.2,1.07,1.86,3.5,1
"sa22076.03","1x",3,"9013","PET",95.38,-0.2,1.26,2.23,4,2
"sa22076.03","1x",3,"9013","PET",95.83,-0.21,0.95,1.63,1.2,0
"sa22076.03","1x",3,"9013","PET",95.19,-0.04,1.28,2.4,6.3,1
"sa22076.03","1x",3,"9013","PET",95.12,-0.45,1.4,2.32,5.3,3
"sa22076.04","1x",4,"9013","PET",95.37,-0.05,1.03,1.91,6,1
"sa22076.04","1x",4,"9013","PET",95.38,-0.24,1.26,2.21,8.7,2
"sa22076.04","1x",4,"9013","PET",95.81,0.03,0.84,1.6,1.7,0
"sa22076.04","1x",4,"9013","PET",95.03,-0.22,1.46,2.61,7.7,3
"sa22076.05","5x",1,"9013","PET",95.82,-0.2,0.94,1.62,1,0
"sa22076.05","5x",1,"9013","PET",95.57,-0.17,1.12,1.99,4.3,1
"sa22076.06","5x",2,"9013","PET",95.28,-0.19,1.3,2.32,5.7,2
"sa22076.06","5x",2,"9013","PET",95.51,-0.18,1.12,1.98,4.6,1
"sa22076.06","5x",2,"9013","PET",95.81,-0.19,0.95,1.64,1.3,0
"sa22076.07","5x",3,"9013","PET",95.76,-0.19,0.93,1.6,1.9,0
"sa22076.07","5x",3,"9013","PET",95.35,-0.16,1.16,2.08,5.9,1
"sa22076.07","5x",3,"9013","PET",95.35,-0.2,1.29,2.3,4.6,2
"sa22076.07","5x",3,"9013","PET",94.87,-0.22,1.54,2.77,6.1,3
"sa22076.08","5x",4,"9013","PET",95.21,-0.16,1.28,2.3,9.4,1
"sa22076.08","5x",4,"9013","PET",95.17,-0.25,1.46,2.58,5,3
"sa22076.08","5x",4,"9013","PET",95.81,-0.19,0.96,1.67,2.1,0
"sa22076.08","5x",4,"9013","PET",95.51,-0.19,1.23,2.18,4.1,2
"sa22076.09","baseline",0,"9013","PET",95.81,-0.17,0.96,1.68,2,0
"sa22076.09","baseline",0,"9013","PET",95.87,-0.17,0.97,1.69,3,0
"sa22077.00","baseline",0,"9013","TPU",96.6,-0.04,0.5,0.89,9.3,0
"sa22077.00","baseline",0,"9013","TPU",96.77,-0.03,0.4,0.71,4.6,0
"sa22077.01","mASTMG154",1,"9013","TPU",96.74,-0.04,0.37,0.64,3.9,0
"sa22077.02","mASTMG154",2,"9013","TPU",96.38,-0.17,1.07,1.87,4.2,1
"sa22077.02","mASTMG154",2,"9013","TPU",96.42,-0.2,1.55,2.76,4.8,2
"sa22077.02","mASTMG154",2,"9013","TPU",96.76,-0.08,0.34,0.57,3,0
"sa22077.03","mASTMG154",3,"9013","TPU",96.48,-0.01,1.13,2.11,2.8,1
"sa22077.03","mASTMG154",3,"9013","TPU",96.48,-0.13,1.08,1.92,4,2
